,城,省份,比例,具体人数,
0,孝感,湖北省,10.94,16961,20200110
1,黄冈,湖北省,10.52,16310,20200110
2,荆州,湖北省,5.74,8899,20200110
3,咸宁,湖北省,5.22,8093,20200110
4,鄂州,湖北省,4.12,6388,20200110
5,襄阳,湖北省,4.12,6388,20200110
6,黄石,湖北省,3.42,5302,20200110
7,宜昌,湖北省,3.08,4775,20200110
8,荆门,湖北省,2.85,4419,20200110
9,随州,湖北省,2.52,3907,20200110
10,仙桃,湖北省,2.38,3690,20200110
11,恩施州,湖北省,2.12,3287,20200110
12,十堰,湖北省,2.02,3132,20200110
13,长沙,湖南省,1.69,2620,20200110
14,北京,北京,1.63,2527,20200110
15,重庆,重庆,1.48,2295,20200110
16,天门,湖北省,1.47,2279,20200110
17,上海,上海,1.18,1829,20200110
18,信阳,河南省,1.18,1829,20200110
19,潜江,湖北省,1.1,1705,20200110
20,郑州,河南省,0.9,1395,20200110
21,广州,广东省,0.85,1318,20200110
22,深圳,广东省,0.76,1178,20200110
23,成都,四川省,0.71,1101,20200110
24,合肥,安徽省,0.67,1039,20200110
25,南京,江苏省,0.6,930,20200110
26,驻马店,河南省,0.59,915,20200110
27,南阳,河南省,0.57,884,20200110
28,南昌,江西省,0.56,868,20200110
29,九江,江西省,0.53,822,20200110
30,西安,陕西省,0.52,806,20200110
31,岳阳,湖南省,0.49,760,20200110
32,杭州,浙江省,0.44,682,20200110
33,周口,河南省,0.36,558,20200110
34,安庆,安徽省,0.35,543,20200110
35,昆明,云南省,0.35,543,20200110
36,苏州,江苏省,0.35,543,20200110
37,南宁,广西壮族自治区,0.31,481,20200110
38,阜阳,安徽省,0.31,481,20200110
39,天津,天津,0.29,450,20200110
40,石家庄,河北省,0.29,450,20200110
41,贵阳,贵州省,0.26,403,20200110
42,东莞,广东省,0.25,388,20200110
43,六安,安徽省,0.25,388,20200110
44,常德,湖南省,0.24,372,20200110
45,厦门,福建省,0.24,372,20200110
46,温州,浙江省,0.22,341,20200110
47,福州,福建省,0.22,341,20200110
48,宁波,浙江省,0.22,341,20200110
49,衡阳,湖南省,0.21,326,20200110
50,邯郸,河北省,0.21,326,20200110
51,株洲,湖南省,0.21,326,20200110
52,太原,山西省,0.21,326,20200110
53,无锡,江苏省,0.21,326,20200110
54,洛阳,河南省,0.2,310,20200110
55,商丘,河南省,0.2,310,20200110
56,宜春,江西省,0.2,310,20200110
57,济南,山东省,0.2,310,20200110
58,青岛,山东省,0.19,295,20200110
59,佛山,广东省,0.19,295,20200110
60,赣州,江西省,0.18,279,20200110
61,哈尔滨,黑龙江省,0.18,279,20200110
62,上饶,江西省,0.18,279,20200110
63,桂林,广西壮族自治区,0.18,279,20200110
64,徐州,江苏省,0.18,279,20200110
65,金华,浙江省,0.17,264,20200110
66,泉州,福建省,0.17,264,20200110
67,兰州,甘肃省,0.17,264,20200110
68,海口,海南省,0.17,264,20200110
69,菏泽,山东省,0.17,264,20200110
70,吉安,江西省,0.16,248,20200110
71,南通,江苏省,0.16,248,20200110
72,漯河,河南省,0.16,248,20200110
73,乌鲁木齐,新疆维吾尔自治区,0.16,248,20200110
74,许昌,河南省,0.16,248,20200110
75,邵阳,湖南省,0.15,233,20200110
76,新乡,河南省,0.15,233,20200110
77,遵义,贵州省,0.15,233,20200110
78,三亚,海南省,0.15,233,20200110
79,保定,河北省,0.15,233,20200110
80,抚州,江西省,0.15,233,20200110
81,珠海,广东省,0.15,233,20200110
82,常州,江苏省,0.14,217,20200110
83,铜仁,贵州省,0.14,217,20200110
84,安阳,河南省,0.13,202,20200110
85,平顶山,河南省,0.13,202,20200110
86,娄底,湖南省,0.13,202,20200110
87,邢台,河北省,0.13,202,20200110
88,沈阳,辽宁省,0.13,202,20200110
89,柳州,广西壮族自治区,0.13,202,20200110
90,临沂,山东省,0.13,202,20200110
91,惠州,广东省,0.12,186,20200110
92,芜湖,安徽省,0.12,186,20200110
93,开封,河南省,0.12,186,20200110
94,黔东南州,贵州省,0.12,186,20200110
95,台州,浙江省,0.12,186,20200110
96,怀化,湖南省,0.12,186,20200110
97,大连,辽宁省,0.12,186,20200110
98,湘潭,湖南省,0.11,171,20200110
99,潍坊,山东省,0.11,171,20200110
0,孝感,湖北省,13,23017,20200111
1,黄冈,湖北省,11.75,20804,20200111
2,咸宁,湖北省,5.95,10535,20200111
3,荆州,湖北省,5.91,10464,20200111
4,鄂州,湖北省,4.53,8021,20200111
5,襄阳,湖北省,3.92,6941,20200111
6,黄石,湖北省,3.81,6746,20200111
7,宜昌,湖北省,3.24,5737,20200111
8,荆门,湖北省,2.95,5223,20200111
9,仙桃,湖北省,2.81,4975,20200111
10,随州,湖北省,2.71,4798,20200111
11,恩施州,湖北省,1.92,3399,20200111
12,十堰,湖北省,1.85,3276,20200111
13,天门,湖北省,1.76,3116,20200111
14,长沙,湖南省,1.55,2744,20200111
15,信阳,河南省,1.25,2213,20200111
16,重庆,重庆,1.2,2125,20200111
17,北京,北京,1.16,2054,20200111
18,潜江,湖北省,1.14,2018,20200111
19,上海,上海,0.97,1717,20200111
20,郑州,河南省,0.81,1434,20200111
21,成都,四川省,0.64,1133,20200111
22,九江,江西省,0.64,1133,20200111
23,深圳,广东省,0.62,1098,20200111
24,广州,广东省,0.62,1098,20200111
25,合肥,安徽省,0.57,1009,20200111
26,岳阳,湖南省,0.5,885,20200111
27,南昌,江西省,0.49,868,20200111
28,驻马店,河南省,0.46,814,20200111
29,南阳,河南省,0.46,814,20200111
30,南京,江苏省,0.45,797,20200111
31,安庆,安徽省,0.44,779,20200111
32,西安,陕西省,0.43,761,20200111
33,杭州,浙江省,0.39,691,20200111
34,昆明,云南省,0.32,567,20200111
35,周口,河南省,0.3,531,20200111
36,苏州,江苏省,0.29,513,20200111
37,南宁,广西壮族自治区,0.29,513,20200111
38,洛阳,河南省,0.25,443,20200111
39,阜阳,安徽省,0.25,443,20200111
40,常德,湖南省,0.24,425,20200111
41,石家庄,河北省,0.23,407,20200111
42,天津,天津,0.22,390,20200111
43,六安,安徽省,0.22,390,20200111
44,衡阳,湖南省,0.22,390,20200111
45,贵阳,贵州省,0.21,372,20200111
46,商丘,河南省,0.2,354,20200111
47,福州,福建省,0.19,336,20200111
48,株洲,湖南省,0.19,336,20200111
49,哈尔滨,黑龙江省,0.19,336,20200111
50,无锡,江苏省,0.19,336,20200111
51,宜春,江西省,0.19,336,20200111
52,温州,浙江省,0.18,319,20200111
53,厦门,福建省,0.18,319,20200111
54,东莞,广东省,0.17,301,20200111
55,漯河,河南省,0.17,301,20200111
56,宁波,浙江省,0.17,301,20200111
57,佛山,广东省,0.17,301,20200111
58,泉州,福建省,0.17,301,20200111
59,平顶山,河南省,0.16,283,20200111
60,抚州,江西省,0.16,283,20200111
61,邯郸,河北省,0.16,283,20200111
62,上饶,江西省,0.16,283,20200111
63,新乡,河南省,0.16,283,20200111
64,赣州,江西省,0.15,266,20200111
65,海口,海南省,0.15,266,20200111
66,桂林,广西壮族自治区,0.15,266,20200111
67,乌鲁木齐,新疆维吾尔自治区,0.14,248,20200111
68,太原,山西省,0.14,248,20200111
69,济南,山东省,0.14,248,20200111
70,邵阳,湖南省,0.13,230,20200111
71,金华,浙江省,0.13,230,20200111
72,安阳,河南省,0.13,230,20200111
73,常州,江苏省,0.13,230,20200111
74,许昌,河南省,0.13,230,20200111
75,徐州,江苏省,0.13,230,20200111
76,菏泽,山东省,0.13,230,20200111
77,青岛,山东省,0.13,230,20200111
78,兰州,甘肃省,0.12,212,20200111
79,保定,河北省,0.12,212,20200111
80,吉安,江西省,0.12,212,20200111
81,南通,江苏省,0.12,212,20200111
82,遵义,贵州省,0.11,195,20200111
83,开封,河南省,0.11,195,20200111
84,沈阳,辽宁省,0.11,195,20200111
85,台州,浙江省,0.11,195,20200111
86,益阳,湖南省,0.11,195,20200111
87,邢台,河北省,0.11,195,20200111
88,湘潭,湖南省,0.11,195,20200111
89,神农架林区,湖北省,0.11,195,20200111
90,珠海,广东省,0.1,177,20200111
91,芜湖,安徽省,0.1,177,20200111
92,柳州,广西壮族自治区,0.1,177,20200111
93,永州,湖南省,0.1,177,20200111
94,三亚,海南省,0.1,177,20200111
95,惠州,广东省,0.1,177,20200111
96,绍兴,浙江省,0.1,177,20200111
97,大连,辽宁省,0.1,177,20200111
98,扬州,江苏省,0.09,159,20200111
99,嘉兴,浙江省,0.09,159,20200111
0,孝感,湖北省,13.47,19622,20200112
1,黄冈,湖北省,11.19,16301,20200112
2,荆州,湖北省,5.74,8362,20200112
3,咸宁,湖北省,5.32,7750,20200112
4,鄂州,湖北省,4.83,7036,20200112
5,黄石,湖北省,3.74,5448,20200112
6,襄阳,湖北省,3.66,5332,20200112
7,仙桃,湖北省,2.8,4079,20200112
8,宜昌,湖北省,2.76,4021,20200112
9,荆门,湖北省,2.72,3962,20200112
10,随州,湖北省,2.65,3860,20200112
11,恩施州,湖北省,2.11,3074,20200112
12,天门,湖北省,2.01,2928,20200112
13,十堰,湖北省,1.88,2739,20200112
14,长沙,湖南省,1.34,1952,20200112
15,重庆,重庆,1.34,1952,20200112
16,潜江,湖北省,1.28,1865,20200112
17,北京,北京,1.21,1763,20200112
18,信阳,河南省,1.12,1632,20200112
19,上海,上海,0.85,1238,20200112
20,郑州,河南省,0.79,1151,20200112
21,成都,四川省,0.73,1063,20200112
22,深圳,广东省,0.61,889,20200112
23,广州,广东省,0.61,889,20200112
24,南阳,河南省,0.55,801,20200112
25,驻马店,河南省,0.51,743,20200112
26,合肥,安徽省,0.49,714,20200112
27,岳阳,湖南省,0.49,714,20200112
28,南昌,江西省,0.48,699,20200112
29,九江,江西省,0.47,685,20200112
30,西安,陕西省,0.43,626,20200112
31,南京,江苏省,0.4,583,20200112
32,南宁,广西壮族自治区,0.36,524,20200112
33,安庆,安徽省,0.33,481,20200112
34,昆明,云南省,0.32,466,20200112
35,周口,河南省,0.32,466,20200112
36,杭州,浙江省,0.32,466,20200112
37,阜阳,安徽省,0.28,408,20200112
38,苏州,江苏省,0.26,379,20200112
39,常德,湖南省,0.25,364,20200112
40,六安,安徽省,0.24,350,20200112
41,福州,福建省,0.24,350,20200112
42,洛阳,河南省,0.23,335,20200112
43,衡阳,湖南省,0.22,320,20200112
44,石家庄,河北省,0.22,320,20200112
45,天津,天津,0.22,320,20200112
46,哈尔滨,黑龙江省,0.22,320,20200112
47,贵阳,贵州省,0.21,306,20200112
48,商丘,河南省,0.2,291,20200112
