,城市,省份,比例,具体人数
0,黄冈,湖北省,23.42,1152
1,孝感,湖北省,20.21,994
2,鄂州,湖北省,7.84,386
3,咸宁,湖北省,7.74,381
4,荆州,湖北省,5.13,252
5,恩施州,湖北省,4.82,237
6,宜昌,湖北省,4.81,237
7,黄石,湖北省,3.17,156
8,仙桃,湖北省,3.06,150
9,襄阳,湖北省,2.65,130
10,十堰,湖北省,2.21,109
11,荆门,湖北省,1.67,82
12,随州,湖北省,1.58,78
13,天门,湖北省,1.4,69
14,潜江,湖北省,0.87,43
15,信阳,河南省,0.36,18
16,株洲,湖南省,0.35,17
17,深圳,广东省,0.35,17
18,郑州,河南省,0.35,17
19,岳阳,湖南省,0.35,17
20,南昌,江西省,0.27,13
21,南阳,河南省,0.27,13
22,安庆,安徽省,0.24,12
23,九江,江西省,0.24,12
24,重庆,重庆市,0.21,10
25,长沙,湖南省,0.19,9
26,阜阳,安徽省,0.19,9
27,东莞,广东省,0.18,9
28,南京,江苏省,0.15,7
29,广州,广东省,0.15,7
30,苏州,江苏省,0.13,6
31,北京,北京市,0.13,6
32,徐州,江苏省,0.13,6
33,芜湖,安徽省,0.12,6
34,台州,浙江省,0.1,5
35,合肥,安徽省,0.1,5
36,西安,陕西省,0.1,5
37,成都,四川省,0.09,4
38,池州,安徽省,0.09,4
39,德阳,四川省,0.09,4
40,杭州,浙江省,0.09,4
41,驻马店,河南省,0.07,3
42,衡阳,湖南省,0.07,3
43,盐城,江苏省,0.07,3
44,茂名,广东省,0.07,3
45,许昌,河南省,0.07,3
46,抚州,江西省,0.07,3
47,上海,上海市,0.07,3
48,宁波,浙江省,0.07,3
49,咸阳,陕西省,0.07,3
50,常德,湖南省,0.06,3
51,榆林,陕西省,0.06,3
52,济南,山东省,0.06,3
53,邵阳,湖南省,0.06,3
54,保定,河北省,0.06,3
55,汕头,广东省,0.06,3
56,南宁,广西壮族自治区,0.06,3
57,运城,山西省,0.06,3
58,六安,安徽省,0.06,3
59,天水,甘肃省,0.06,3
60,石家庄,河北省,0.06,3
61,福州,福建省,0.06,3
62,哈尔滨,黑龙江省,0.04,2
63,上饶,江西省,0.04,2
64,达州,四川省,0.04,2
65,张家界,湖南省,0.04,2
66,桂林,广西壮族自治区,0.04,2
67,昆明,云南省,0.04,2
68,宜春,江西省,0.04,2
69,镇江,江苏省,0.04,2
70,珠海,广东省,0.04,2
71,铜陵,安徽省,0.04,2
72,佳木斯,黑龙江省,0.04,2
73,邯郸,河北省,0.04,2
74,淄博,山东省,0.04,2
75,梧州,广西壮族自治区,0.04,2
76,新乡,河南省,0.03,1
77,益阳,湖南省,0.03,1
78,安康,陕西省,0.03,1
79,厦门,福建省,0.03,1
80,平顶山,河南省,0.03,1
81,晋中,山西省,0.03,1
82,庆阳,甘肃省,0.03,1
83,舟山,浙江省,0.03,1
84,神农架林区,湖北省,0.03,1
85,绍兴,浙江省,0.03,1
86,吕梁,山西省,0.03,1
87,濮阳,河南省,0.03,1
88,宣城,安徽省,0.03,1
89,吉林,吉林省,0.03,1
90,无锡,江苏省,0.03,1
91,宿迁,江苏省,0.03,1
92,湛江,广东省,0.03,1
93,湘潭,湖南省,0.03,1
94,湘西自治州,湖南省,0.03,1
95,漳州,福建省,0.03,1
96,楚雄,云南省,0.03,1
97,中山,广东省,0.03,1
98,周口,河南省,0.03,1
99,定西,甘肃省,0.03,1
